key_id,en,fr,name_toflit_simplification,id_toflit,datasprint1
00000002,Passenger,Passagers,passagers,passagers~product_simplification,False
00000013,Sundries,Diverses marchandises,marchandises de Montauban,marchandises_de_Montauban~product_simplification,False
,,,marchandises,marchandises~product_simplification,False
,,,marchandises permises,marchandises_permises~product_simplification,False
,,,marchandises sèches,marchandises_sèches~product_simplification,False
,,,marchandises des Indes,marchandises_des_Indes~product_simplification,False
00000027,Wheat,Blé,blé,blé~product_simplification,False
,,,grains blé,grains_blé~product_simplification,False
00000038,Apple,Pommes,pommes,pommes~product_simplification,False
00000040,Goods,Marchandises,marchandises,marchandises~product_simplification,False
00000043,Wine,Vin,vin,vin~product_simplification,True
,,,vin de ???,vin_de_???~product_simplification,False
00000051,Wood,Bois,bois,bois~product_simplification,False
,,,"""bois"," pierre""",False
,,,bois de ???,bois_de_???~product_simplification,False
00000053,Bacon,Lard salé,jambon et lard salé,jambon_et_lard_salé~product_simplification,False
,,,lard salé,lard_salé~product_simplification,True
,,,lard et porcs salés,lard_et_porcs_salés~product_simplification,False
00000055,Wool,Laine,laine de ???,laine_de_???~product_simplification,False
,,,lain,lain~product_simplification,False
,,,laine,laine~product_simplification,True
,,,laine en lain,laine_en_lain~product_simplification,False
,,,laine en ???,laine_en_???~product_simplification,False
00000066,Soda,Soude,soudes,soudes~product_simplification,False
00000068,Plank,Planches,planches,planches~product_simplification,False
00000070,Coal,Charbon,charbon,charbon~product_simplification,False
00000071,Charcoal,Charbon de bois,charbon de bois,charbon_de_bois~product_simplification,True
,,,charbon de bois et de terre,charbon_de_bois_et_de_terre~product_simplification,False
,,,charbon de bois et chènevotte,charbon_de_bois_et_chènevotte~product_simplification,False
00000074,Oil,Huile,huile,huile~product_simplification,False
,,,huile à ???,huile_à_???~product_simplification,False
00000075,Fish,Poisson,poisson ???,poisson_???~product_simplification,False
,,,poisson,poisson~product_simplification,False
00000078,Flax,Lin,lina,lina~product_simplification,False
,,,lin,lin~product_simplification,True
,,,lin ???,lin_???~product_simplification,False
00000084,Biscuit,Biscuits,biscuit,biscuit~product_simplification,True
00000090,Vinegar,Vinaigre,vinaigre ???,vinaigre_???~product_simplification,False
,,,vinaigre,vinaigre~product_simplification,True
00000093,Barley,Orge,orge de ???,orge_de_???~product_simplification,False
00000094,Ballast,Lest,lest,lest~product_simplification,False
00000095,Oats,Avoine,avoine,avoine~product_simplification,True
00000097,Fruit,Fruits,fruits,fruits~product_simplification,False
,,,fruits ?,fruits_?~product_simplification,False
00000098,Hemp,Chanvre,chanvre,chanvre~product_simplification,True
00000101,Cotton,Coton,coton ???,coton_???~product_simplification,False
,,,coton,coton~product_simplification,True
,,,cotonné de coton,cotonné_de_coton~product_simplification,False
,,,cotonis,cotonis~product_simplification,False
,,,cotonnée,cotonnée~product_simplification,False
00000106,Mustard,Moutarde,moutarde,moutarde~product_simplification,False
00000110,Cheese,Fromage,fromage,fromage~product_simplification,True
00000122,Rye,Seigle,seigle,seigle~product_simplification,True
00000124,Flour,Farine,farine,farine~product_simplification,True
00000125,Beans,Haricots blancs,haricots blancs,haricots_blancs~product_simplification,False
00000126,Cod,Morue,??? de morue,???_de_morue~product_simplification,False
,,,morue ???,morue_???~product_simplification,False
,,,morue,morue~product_simplification,False
00000129,Salt,Sel,selles,selles~product_simplification,False
,,,sel,sel~product_simplification,True
,,,sel de,sel_de~product_simplification,False
00000130,Food,Vivres,vivres,vivres~product_simplification,False
00000135,Soap,Savon,savon,savon~product_simplification,True
00000138,Coffee,Café,cafas,cafas~product_simplification,False
,,,café,café~product_simplification,False
00000145,Tallow,Suif,suif,suif~product_simplification,True
00000147,Sugar,Sucre,sucre,sucre~product_simplification,False
00000151,Furniture,Meubles,mobilier,mobilier~product_simplification,False
,,,meubles ???,meubles_???~product_simplification,False
,,,meubles,meubles~product_simplification,True
00000167,Oysters,Huitres,huitres,huitres~product_simplification,False
,,,huîtres,huîtres~product_simplification,False
00000171,Copper,Cuivre,cuivre,cuivre~product_simplification,True
,,,dés de cuivre,dés_de_cuivre~product_simplification,False
00000183,Peas,Pois,pois,pois~product_simplification,False
00000186,Cow,Vaches,vaches,vaches~product_simplification,True
00000201,Brandy,Eau-de-vie,oiseau à l'eau de vie,oiseau_à_l'eau_de_vie~product_simplification,False
,,,eau-de-vie d'Hendaye,eau-de-vie_d'Hendaye~product_simplification,False
,,,eau-de-vie de vin,eau-de-vie_de_vin~product_simplification,False
,,,eau-de-vie simple,eau-de-vie_simple~product_simplification,False
,,,eau-de-vie rectifiée,eau-de-vie_rectifiée~product_simplification,False
,,,eau-de-vie spiritueuse,eau-de-vie_spiritueuse~product_simplification,False
,,,eau-de-vie de Ré,eau-de-vie_de_Ré~product_simplification,False
,,,eau-de-vie de cidre,eau-de-vie_de_cidre~product_simplification,False
,,,eau-de-vie de grains,eau-de-vie_de_grains~product_simplification,False
,,,eau-de-vie des prises,eau-de-vie_des_prises~product_simplification,False
,,,eau-de-vie et rhum,eau-de-vie_et_rhum~product_simplification,False
,,,eau-de-vie,eau-de-vie~product_simplification,False
,,,vin et eau-de-vie,vin_et_eau-de-vie~product_simplification,False
,,,eau-de-vie de Rochefort,eau-de-vie_de_Rochefort~product_simplification,False
,,,confitures à l'eau-de-vie,confitures_à_l'eau-de-vie~product_simplification,False
,,,eau-de-vie double,eau-de-vie_double~product_simplification,False
,,,pêches à l'eau-de-vie,pêches_à_l'eau-de-vie~product_simplification,False
,,,fraises à l'eau-de-vie,fraises_à_l'eau-de-vie~product_simplification,False
,,,eau-de-vie de genièvre,eau-de-vie_de_genièvre~product_simplification,False
,,,eau-de-vie antiscorbutique,eau-de-vie_antiscorbutique~product_simplification,False
,,,eau-de-vie raffinée,eau-de-vie_raffinée~product_simplification,False
,,,eau-de-vie composée,eau-de-vie_composée~product_simplification,False
,,,eau-de-vie d'Espagne,eau-de-vie_d'Espagne~product_simplification,False
,,,raisin muscat à l'eau-de-vie,raisin_muscat_à_l'eau-de-vie~product_simplification,False
,,,vin et eau-de-vie de vin,vin_et_eau-de-vie_de_vin~product_simplification,False
,,,eau gazeuse,eau_gazeuse~product_simplification,False
,,,eau-de-vie diverse,eau-de-vie_diverse~product_simplification,False
,,,eau-de-vie de Cognac,eau-de-vie_de_Cognac~product_simplification,False
,,,fruits confits à l'eau-de-vie,fruits_confits_à_l'eau-de-vie~product_simplification,False
,,,eau-de-vie royale,eau-de-vie_royale~product_simplification,False
,,,fruits à l'eau-de-vie,fruits_à_l'eau-de-vie~product_simplification,False
,,,eau-de-vie scorbutique,eau-de-vie_scorbutique~product_simplification,False
,,,eau-de-vie de Marennes,eau-de-vie_de_Marennes~product_simplification,False
,,,eau-de-vie et liqueurs,eau-de-vie_et_liqueurs~product_simplification,False
,,,eau-de-vie d'Oléron,eau-de-vie_d'Oléron~product_simplification,False
,,,eau-de-vie commune,eau-de-vie_commune~product_simplification,False
,,,eau-de-vie anisette,eau-de-vie_anisette~product_simplification,False
,,,eau-de-vie triple,eau-de-vie_triple~product_simplification,False
,,,eau-de-vie de Dantzig,eau-de-vie_de_Dantzig~product_simplification,False
,,,"""eau-de-vie de """"?"""" en pots""","""eau-de-vie_de_""""?""""_en_pots~product_simplification""",False
,,,eau-de-vie de Charente,eau-de-vie_de_Charente~product_simplification,False
00000203,Firewood,Bois à brûler,bois pour brûler et fagots,bois_pour_brûler_et_fagots~product_simplification,False
,,,bois d'olivier à brûler,bois_d'olivier_à_brûler~product_simplification,False
,,,bois en bûches pour brûler,bois_en_bûches_pour_brûler~product_simplification,False
,,,fagots de bois pour brûler,fagots_de_bois_pour_brûler~product_simplification,False
,,,facheaux de bois pour brûler,facheaux_de_bois_pour_brûler~product_simplification,False
,,,bois pour brûler de gite,bois_pour_brûler_de_gite~product_simplification,False
,,,bois pour brûler et autres,bois_pour_brûler_et_autres~product_simplification,False
,,,bois pour brûler,bois_pour_brûler~product_simplification,False
,,,bois pour brûler d'orme,bois_pour_brûler_d'orme~product_simplification,False
,,,cordes de bois pour brûler,cordes_de_bois_pour_brûler~product_simplification,False
,,,bois pour brûler en ???,bois_pour_brûler_en_???~product_simplification,False
,,,bois pour brûler de chêne,bois_pour_brûler_de_chêne~product_simplification,False
00000205,Garlic,Ail,ailes,ailes~product_simplification,False
,,,ails,ails~product_simplification,False
,,,ail,ail~product_simplification,False
00000208,Sail,Voiles,voile,voile~product_simplification,False
00000213,Linseed,Graines de lin,graine de lin vieille,graine_de_lin_vieille~product_simplification,False
,,,graine vieille de lin,graine_vieille_de_lin~product_simplification,False
,,,pain de graine de lin,pain_de_graine_de_lin~product_simplification,False
,,,graine de lin et grasse,graine_de_lin_et_grasse~product_simplification,False
,,,graine de lin et à semer,graine_de_lin_et_à_semer~product_simplification,False
,,,graine de lin,graine_de_lin~product_simplification,True
,,,graine,graine~product_simplification,False
,,,grains de lin,grains_de_lin~product_simplification,False
,,,huile de graine de lin,huile_de_graine_de_lin~product_simplification,False
,,,graine et graine de lin,graine_et_graine_de_lin~product_simplification,False
,,,huile de graine et de lin,huile_de_graine_et_de_lin~product_simplification,False
00000234,Timber,Bois de construction,bois,bois~product_simplification,False
,,,poutres,poutres~product_simplification,False
,,,bois de marine,bois_de_marine~product_simplification,False
,,,avirons en bois de construction,avirons_en_bois_de_construction~product_simplification,False
,,,merrains,merrains~product_simplification,False
,,,bois pour construction de sapin,bois_pour_construction_de_sapin~product_simplification,False
,,,bois pour construction,bois_pour_construction~product_simplification,False
,,,bois de pin,bois_de_pin~product_simplification,False
,,,bois pour construction et planches de bois,bois_pour_construction_et_planches_de_bois~product_simplification,False
,,,mâts,mâts~product_simplification,False
,,,planches de bois pour construction,planches_de_bois_pour_construction~product_simplification,False
,,,bois de chêne de construction,bois_de_chêne_de_construction~product_simplification,False
,,,espars pour construction,espars_pour_construction~product_simplification,False
,,,bois de chêne pour construction,bois_de_chêne_pour_construction~product_simplification,False
,,,bois de buis,bois_de_buis~product_simplification,False
00000235,Earth coal,Charbon de terre,charbon de terre grenier,charbon_de_terre_grenier~product_simplification,False
,,,charbon d'Angleterre de terre,charbon_d'Angleterre_de_terre~product_simplification,False
,,,charbon de terre,charbon_de_terre~product_simplification,True
,,,charbon de terre cargo,charbon_de_terre_cargo~product_simplification,False
,,,charbon de bois et de terre,charbon_de_bois_et_de_terre~product_simplification,False
,,,menu charbon de terre,menu_charbon_de_terre~product_simplification,False
00000240,Fishing (cod),Pêche à la morue,lest pour la pêche à la morue,lest_pour_la_pêche_à_la_morue~product_simplification,False
,,,vivres pour la pêche à la morue,vivres_pour_la_pêche_à_la_morue~product_simplification,False
,,,pêche à la morue,pêche_à_la_morue~product_simplification,False
,,,outils de pêche à la morue,outils_de_pêche_à_la_morue~product_simplification,False
,,,morue de pêche française,morue_de_pêche_française~product_simplification,False
,,,pour la pêche à la morue,pour_la_pêche_à_la_morue~product_simplification,False
,,,morue,morue~product_simplification,False
00000241,Earth,Terre,terre ?,terre_?~product_simplification,False
,,,terrasse,terrasse~product_simplification,False
,,,terre,terre~product_simplification,False
00000242,Cask (empty),Futailles vides,futailles vides,futailles_vides~product_simplification,True
,,,futailles démontées vides,futailles_démontées_vides~product_simplification,False
,,,futailles vides de tonnelier,futailles_vides_de_tonnelier~product_simplification,False
00000254,Pilchard,Sardines,sardines,sardines~product_simplification,True
00000257,Stave wood,Bois merrain,douelles,douelles~product_simplification,False
,,,merrains bourdillons,merrains_bourdillons~product_simplification,False
,,,merrains pour barriques,merrains_pour_barriques~product_simplification,False
,,,merrains pour tonneaux,merrains_pour_tonneaux~product_simplification,False
,,,merrains pour barils,merrains_pour_barils~product_simplification,False
,,,bois merrains pour cardines,bois_merrains_pour_cardines~product_simplification,False
,,,merrains pour quarts,merrains_pour_quarts~product_simplification,False
,,,merrains pour buses,merrains_pour_buses~product_simplification,False
,,,merrains pour pipes,merrains_pour_pipes~product_simplification,False
,,,feuillards de bois merrains,feuillards_de_bois_merrains~product_simplification,False
,,,merrains de sapin,merrains_de_sapin~product_simplification,False
,,,merrains bourdilles,merrains_bourdilles~product_simplification,False
,,,merrains pour tortue,merrains_pour_tortue~product_simplification,False
,,,bois et merrains,bois_et_merrains~product_simplification,False
,,,merrains pour boucaud,merrains_pour_boucaud~product_simplification,False
,,,merrains ???,merrains_???~product_simplification,False
,,,merrains pour ferraille,merrains_pour_ferraille~product_simplification,False
,,,merrains de douves,merrains_de_douves~product_simplification,False
,,,merrains pour fonds,merrains_pour_fonds~product_simplification,False
,,,merrains communs,merrains_communs~product_simplification,False
,,,merrains pour tonnellerie,merrains_pour_tonnellerie~product_simplification,False
,,,merrains pour bottes,merrains_pour_bottes~product_simplification,False
,,,merrains,merrains~product_simplification,False
,,,merrains fonçaille,merrains_fonçaille~product_simplification,False
,,,merrains pour tierçons,merrains_pour_tierçons~product_simplification,False
,,,merrains pour muid,merrains_pour_muid~product_simplification,False
,,,merrains de chêne,merrains_de_chêne~product_simplification,False
00000258,Fish oil,Huile de poisson,huile de graine de poisson,huile_de_graine_de_poisson~product_simplification,False
